2021-08-15 00:00:18.541 +01:00 [DBG] [  253ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:18.562 +01:00 [DBG] [  275ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:19.808 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:20.264 +01:00 [DBG] [  528ms] SoftwarePerformanceService.<GetProcesses>b__58_0 => .Get Processes with main title
2021-08-15 00:00:20.285 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:20.299 +01:00 [DBG] [   14ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:20.447 +01:00 [DBG] [  162ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:20.554 +01:00 [DBG] [  269ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:20.562 +01:00 [DBG] [  277ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:20.625 +01:00 [DBG] [  888ms] SoftwarePerformanceService.GetProcesses
2021-08-15 00:00:21.812 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:22.286 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:22.299 +01:00 [DBG] [   13ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:22.339 +01:00 [DBG] [   53ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:22.559 +01:00 [DBG] [  273ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:22.561 +01:00 [DBG] [  275ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:23.818 +01:00 [DBG] [    1ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:24.298 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:24.311 +01:00 [DBG] [   13ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:24.443 +01:00 [DBG] [  145ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:24.544 +01:00 [DBG] [  246ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:24.576 +01:00 [DBG] [  277ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:25.818 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:26.329 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:26.462 +01:00 [DBG] [  132ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:26.486 +01:00 [DBG] [  156ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:26.582 +01:00 [DBG] [  253ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:26.607 +01:00 [DBG] [  277ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:27.819 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:28.266 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:28.281 +01:00 [DBG] [   14ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:28.429 +01:00 [DBG] [  162ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:28.529 +01:00 [DBG] [  263ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:28.545 +01:00 [DBG] [  278ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:29.814 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:30.282 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:30.296 +01:00 [DBG] [   13ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:30.443 +01:00 [DBG] [  160ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:30.535 +01:00 [DBG] [  252ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:30.560 +01:00 [DBG] [  277ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:31.816 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:32.284 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:32.414 +01:00 [DBG] [  130ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:32.439 +01:00 [DBG] [  155ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:32.547 +01:00 [DBG] [  263ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:32.560 +01:00 [DBG] [  275ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:33.819 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:34.282 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:34.296 +01:00 [DBG] [   13ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:34.443 +01:00 [DBG] [  160ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:34.548 +01:00 [DBG] [  265ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:34.559 +01:00 [DBG] [  276ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:35.816 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:36.281 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:36.296 +01:00 [DBG] [   14ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:36.437 +01:00 [DBG] [  155ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:36.531 +01:00 [DBG] [  249ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:36.558 +01:00 [DBG] [  276ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:37.815 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:38.281 +01:00 [DBG] [    0ms] HardwarePerformanceService.UpdateGpuUsage
2021-08-15 00:00:38.399 +01:00 [DBG] [  117ms] HardwarePerformanceService.UpdateRamUsage
2021-08-15 00:00:38.435 +01:00 [DBG] [  153ms] HardwarePerformanceService.UpdateDiskUsage
2021-08-15 00:00:38.535 +01:00 [DBG] [  253ms] HardwarePerformanceService.UpdateNetworkUsage
2021-08-15 00:00:38.561 +01:00 [DBG] [  279ms] HardwarePerformanceService.UpdateCpuUsage
2021-08-15 00:00:39.817 +01:00 [DBG] [    2ms] MachineDataStore.GetMetrics => .Metrics from cache
2021-08-15 00:00:40.244 +01:00 [DBG] [  512ms] SoftwarePerformanceService.<GetProcesses>b__58_0 => .Get Processes with main title
